
id,created_at,powder_color,color_family,manufacturer,product_code,gloss_level,finish,metallic,needs_clear,int_ext,additional_code,msds_url,sds_url,web_link,notes,cure_schedule,additional_info,aliases,price_per_kg,charge_per_lb,weight_box_kg,last_price_check,in_stock,shipping_cost,picture_url
37,2025-10-01T19:03:02.875361,49 Grey,Black,Tiger Drylac,49/74209,Semi Gloss,Smooth,False,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/49-74209,,,,,15.99,9.066188,20.0,,40.0,,
35,2025-10-01T19:03:02.875087,61 Grey,Black,Tiger Drylac,49/74208,Semi Gloss,Smooth,False,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/49-74208,,,,,11.22,6.3616405,25.0,,27.0,,
36,2025-10-01T19:03:02.875222,61 Grey Texture,Black,Tiger Drylac,549/70022,Semi Gloss,Texture,False,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/549-70022,,,,,14.68,8.32343,20.0,,0.0,,
3,2025-10-01T07:54:06.632803,Anodized Silver,Metallic,Tiger Drylac,138/91021,Semi-Gloss,Smooth,False,False,Interior / Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/138-91021,,,,,34.09,19.328728,20.0,,15.6,,powders/tiger-drylac/anodized-silver-138-91021/picture.jpg
5,2025-10-01T07:54:06.633575,Anthracite,Metallic,Tiger Drylac,49/79680,Matte,Texture,True,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/49-79680,,,,,16.87,9.565141,20.0,,8.4,,
4,2025-10-01T07:54:06.633296,Anti Graffiti Clear,Other,Tiger Drylac,044/00018,Gloss,Smooth,False,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/44-00018,,,,,26.0,14.74177,20.0,,,,
6,2025-10-01T07:54:06.634087,Apollo White,Other,Tiger Drylac,139/10210,Semi Gloss,Smooth,False,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/139-10210,,,,,10.61,6.015776,20.0,,41.6,,
7,2025-10-01T19:03:02.870255,ASA 61 Grey,Black,Tiger Drylac,149/70082,Semi Gloss,Smooth,False,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/149-70082,,,,,21.15,11.991862,20.0,,38.0,,
8,2025-10-01T19:03:02.870585,Beige,Other,Tiger Drylac,139/15010,Semi Gloss,Smooth,False,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/139-15010,,,,,16.97,9.62184,25.0,,0.0,,
9,2025-10-01T19:03:02.870803,Bengal Clear,Other,Tiger Drylac,049/01234,Gloss,Smooth,False,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/49-01234,,,,,19.35,10.971278,20.0,,18.4,,
10,2025-10-01T19:03:02.870985,Bengal Silver,Metallic,Tiger Drylac,049/99999,Gloss,Smooth,True,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/149-99999,,,,,29.93,16.970045,20.0,,32.0,,
12,2025-10-01T19:03:02.871355,Black Velvet,Black,Tiger Drylac,138/81201,Semi-Gloss,Smooth,False,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/138-81201,,,,"SGB, Semi Gloss Black",10.98,6.2255626,20.0,,100.0,,
13,2025-10-01T19:03:02.871611,Breccia,Other,Tiger Drylac,044/60034,Semi Gloss,Texture,False,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/44-60034,,,,,35.42,20.082827,20.0,,2.0,,
15,2025-10-01T19:03:02.871935,Bronze C34,Metallic,Tiger Drylac,049/66220,Satin,Smooth,True,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/149-66220,,,,,29.77,16.879326,20.0,,26.0,,
14,2025-10-01T19:03:02.871772,C33,Other,Tiger Drylac,49/66230,Semi Gloss,Smooth,True,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/49-66230,,,,,14.25,8.079624,20.0,,0.0,,
16,2025-10-01T19:03:02.872087,Cape Cod,Other,Tiger Drylac,038/10010,Semi Gloss,Texture,False,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/38-10010,,,,,19.62,11.124366,20.0,,0.0,,
17,2025-10-01T19:03:02.872250,Champagne,Other,Tiger Drylac,038/15017,Semi Gloss,Texture,False,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/38-15017,,,,,30.8,17.463327,20.0,,0.0,,
18,2025-10-01T19:03:02.872400,Deer Yellow,Other,Tiger Drylac,068/20018,Semi Gloss,Texture,False,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/68-20018,,,,,28.83,16.346354,20.0,,27.6,,
21,2025-10-01T19:03:02.872869,Geronimo,Other,Tiger Drylac,44/00049,Semi Gloss,Smooth,True,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/44-00049,,,,,37.0,20.978672,20.0,,0.0,,
34,2025-10-01T19:03:02.874925,Gun Metal,Other,Tiger Drylac,459/90170,Semi Gloss,Smooth,True,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/459-90170,,,,,15.41,8.737333,20.0,,25.0,,
19,2025-10-01T19:03:02.872542,Matte Silver,Metallic,Tiger Drylac,449/90500,Matte,Smooth,True,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/449-90500,,,,,22.26,12.6212225,20.0,,46.0,,
22,2025-10-01T19:03:02.873014,Merc Blue,Other,Tiger Drylac,459/40020,Semi Gloss,Smooth,False,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/459-40020,,,,,10.46,5.9307275,20.0,,0.0,,
23,2025-10-01T19:03:02.873156,Mirror Silver,Metallic,Tiger Drylac,449/91260,Semi Gloss,Smooth,True,True,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/449-91260,,,,,19.82,11.237764,20.0,,16.4,,
24,2025-10-01T19:03:02.873326,Nu Sparkle Silver,Metallic,Tiger Drylac,449/91170,Gloss,Smooth,True,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/449-91170,,,,,22.6,12.814,20.0,,31.6,,
25,2025-10-01T19:03:02.873499,Oil Rub Bronze,Brown,Tiger Drylac,449/91610,Semi Gloss,Texture,False,False,Exterior,,,,https://www.tiger-coatings.com/us-en/shop/show/449-91610,,,,,22.56,12.79132,20.0,,25.6,,
